loan_term_months,base_default_prob,n_borrowers,principal,replication,steps_run,defaulted_share,roi,default_rate
48,0.03,60,10000.0,0,59,0.01518331535970112,0.3822909688240895,0.05
48,0.03,60,10000.0,1,61,0.01961487258753507,0.3652984127906227,0.05
48,0.03,60,10000.0,2,58,0.01702514146220794,0.3455378181125185,0.03333333333333333
48,0.03,60,10000.0,3,61,0.024174536423869703,0.39733103505094436,0.03333333333333333
48,0.03,60,10000.0,4,62,0.0,0.38090279646506825,0.0
48,0.05,60,10000.0,0,65,0.04350662840444861,0.342536301341753,0.05
48,0.05,60,10000.0,1,63,0.06510822780644833,0.3019437127485745,0.16666666666666666
48,0.05,60,10000.0,2,62,0.040026617378638114,0.31405241902103065,0.08333333333333333
48,0.05,60,10000.0,3,66,0.06014234013341118,0.34582702100136453,0.1
48,0.05,60,10000.0,4,61,0.05385944300547583,0.30652814100275594,0.13333333333333333
48,0.08,60,10000.0,0,71,0.23562012873494254,0.07288534940543526,0.45
48,0.08,60,10000.0,1,69,0.18925019047807035,0.12906183209049438,0.3333333333333333
48,0.08,60,10000.0,2,66,0.17566765035014392,0.1283812007128653,0.25
48,0.08,60,10000.0,3,69,0.2484214918415786,0.07622112142712983,0.43333333333333335
48,0.08,60,10000.0,4,68,0.20809739643578062,0.09354051978979862,0.31666666666666665
48,0.12,60,10000.0,0,76,0.43131082511377317,-0.20178656315071208,0.6666666666666666
48,0.12,60,10000.0,1,73,0.4820396612915284,-0.2786809912206567,0.6333333333333333
48,0.12,60,10000.0,3,78,0.5612559619236839,-0.37174148069381596,0.75
48,0.12,60,10000.0,2,69,0.42502116632216635,-0.2129445035058255,0.5833333333333334
48,0.12,60,10000.0,4,71,0.4763565560571449,-0.27689930390871265,0.6333333333333333
60,0.01,60,10000.0,0,65,0.0,0.5169214203900333,0.0
60,0.01,60,10000.0,1,68,0.0,0.5027649170988986,0.0
60,0.01,60,10000.0,2,65,0.0,0.4716522622965528,0.0
60,0.01,60,10000.0,3,65,0.0,0.5535463683388411,0.0
60,0.01,60,10000.0,4,65,0.0,0.48736539549330055,0.0
60,0.03,60,10000.0,0,73,0.015267256829134341,0.49376219147532346,0.03333333333333333
60,0.03,60,10000.0,1,72,0.029432718808324165,0.45853445985891234,0.06666666666666667
60,0.03,60,10000.0,2,69,0.02195764883640933,0.43933823871173777,0.03333333333333333
60,0.03,60,10000.0,3,75,0.025941785532443067,0.5132446016366891,0.03333333333333333
60,0.03,60,10000.0,4,77,0.005732368634741475,0.478839268751775,0.016666666666666666
60,0.05,60,10000.0,0,81,0.07024184267448774,0.4103700646294364,0.11666666666666667
60,0.05,60,10000.0,1,79,0.08789079420246641,0.3706857150354733,0.16666666666666666
60,0.05,60,10000.0,2,77,0.060621630347784956,0.38243830285112995,0.11666666666666667
60,0.05,60,10000.0,3,80,0.06544078590851476,0.4518810730494283,0.08333333333333333
